Date,SP500
1990-06-29,358.02
1990-03-30,339.94
1989-12-29,353.40
1989-09-29,349.15
1989-06-30,317.98
1989-03-31,294.87
1988-12-30,277.72
1988-09-30,271.91
1988-06-30,273.50
1988-03-31,258.89
1987-12-31,247.08
1987-09-30,321.83
1987-06-30,304.00
1987-03-31,291.70
1986-12-31,242.17
1986-09-30,231.32
1986-06-30,250.84
1986-03-31,238.90
1985-12-31,211.28
1985-09-30,182.08
1985-06-28,191.85
1985-03-29,180.66
1984-12-31,167.24
1984-09-28,166.10
1984-06-29,153.18
1984-03-30,159.18
1983-12-30,164.93
1983-09-30,166.07
1983-06-30,168.11
1983-03-31,152.96
1982-12-31,140.64
1982-09-30,120.42
1982-06-30,109.61
1982-03-31,111.96
1981-12-31,122.55
1981-09-30,116.18
1981-06-30,131.21
1981-03-31,136.00
1980-12-31,135.76
1980-09-30,125.46
1980-06-30,114.24
1980-03-31,102.09
1979-12-31,107.94
1979-09-28,109.32
1979-06-29,102.91
1979-03-30,101.59
1978-12-29,96.11
1978-09-29,102.54
1978-06-30,95.53
1978-03-31,89.21
1977-12-30,95.10
1977-09-30,96.53
1977-06-30,100.48
1977-03-31,98.42
1976-12-31,107.46
1976-09-30,105.24
1976-06-30,104.28
1976-03-31,102.77
1975-12-31,90.19
1975-09-30,83.87
1975-06-30,95.19
1975-03-31,83.36
1974-12-31,68.56
1974-09-30,63.54
1974-06-28,86.00
1974-03-29,93.98
1973-12-31,97.55
1973-09-28,108.43
1973-06-29,104.26
1973-03-30,111.52
1972-12-29,118.05
1972-09-29,110.55
1972-06-30,107.14
1972-03-31,107.20
1971-12-31,102.09
1971-09-30,98.34
1971-06-30,99.70
1971-03-31,100.31
1970-12-31,92.15
1970-09-30,84.21
1970-06-30,72.72
1970-03-31,89.63
1969-12-31,92.06
1969-09-30,93.12
1969-06-30,97.71
1969-03-31,101.51
1968-12-31,103.86
1968-09-30,102.67
1968-06-28,99.58
1968-03-29,90.20
1967-12-29,96.47
1967-09-29,96.71
1967-06-30,90.64
1967-03-31,90.20
1966-12-30,80.33
1966-09-30,76.56
1966-06-30,84.74
1966-03-31,89.23
1965-12-31,92.43
1965-09-30,89.96
1965-06-30,84.12
1965-03-31,86.16
1964-12-31,84.75
1964-09-30,84.18
1964-06-30,81.69
1964-03-31,78.98
1963-12-31,75.02
1963-09-30,71.70
1963-06-28,69.37
1963-03-29,66.57
1962-12-31,63.10
1962-09-28,56.27
1962-06-29,54.75
1962-03-30,69.55
1961-12-29,71.55
1961-09-29,66.73
1961-06-30,64.64
1961-03-31,65.06
1960-12-30,58.11
1960-09-30,53.52
1960-06-30,56.92
1960-03-31,55.34
1959-12-31,59.89
1959-09-30,56.88
1959-06-30,58.47
1959-03-31,55.44
1958-12-31,55.21
1958-09-30,50.06
1958-06-30,45.24
1958-03-31,42.10
1957-12-31,39.99
1957-09-30,42.42
1957-06-28,47.37
1957-03-29,44.11
1956-12-31,46.67
1956-09-28,45.35
1956-06-29,46.97
1956-03-30,48.48
1955-12-30,45.48
1955-09-30,43.67
1955-06-30,41.03
1955-03-31,36.58
1954-12-31,35.98
1954-09-30,32.31
1954-06-30,29.21
1954-03-31,26.94
1953-12-31,24.81
1953-09-30,23.35
1953-06-30,24.14
1953-03-31,25.29
1952-12-31,26.57
1952-09-30,24.54
1952-06-30,24.96
1952-03-31,24.37
1951-12-31,23.77
1951-09-28,23.26
1951-06-29,20.96
1951-03-30,21.48
1950-12-29,20.43
1950-09-29,19.45
1950-06-30,17.69
1950-03-31,17.29
1949-12-30,16.79
1949-09-30,15.58
1949-06-30,14.16
1949-03-31,15.06
1948-12-31,15.20
1948-09-30,15.49
1948-06-30,16.74
1948-03-31,15.08
1947-12-31,15.30
1947-09-30,15.11
1947-06-30,15.21
1947-03-31,15.17
1946-12-31,15.30
1946-09-30,14.96
1946-06-28,18.43
1946-03-29,18.04
1945-12-31,17.36
1945-09-28,16.05
1945-06-29,14.87
1945-03-30,13.61
1944-12-29,13.28
1944-09-29,12.74
1944-06-30,12.98
1944-03-31,12.02
1943-12-31,11.67
1943-09-30,12.08
1943-06-30,12.35
1943-03-31,11.58
1942-12-31,9.77
1942-09-30,8.85
1942-06-30,8.30
1942-03-31,8.01
1941-12-31,8.69
1941-09-30,10.20
1941-06-30,9.85
1941-03-31,9.96
1940-12-31,10.58
1940-09-30,10.66
1940-06-28,9.98
1940-03-29,12.18
1939-12-29,12.46
1939-09-29,12.79
1939-06-30,10.86
1939-03-31,10.98
1938-12-30,13.14
1938-09-30,12.24
1938-06-30,11.56
1938-03-31,8.50
1937-12-31,10.55
1937-09-30,13.76
1937-06-30,15.40
1937-03-31,17.92
1936-12-31,17.18
1936-09-30,16.01
1936-06-30,14.84
1936-03-31,14.92
1935-12-31,13.43
1935-09-30,11.59
1935-06-28,10.24
1935-03-29,8.45
1934-12-31,9.50
1934-09-28,9.08
1934-06-29,9.81
1934-03-30,10.62
1933-12-29,9.97
1933-09-29,9.72
1933-06-30,10.91
1933-03-31,5.85
1932-12-30,6.92
1932-09-30,8.08
1932-06-30,4.43
1932-03-31,7.31
1931-12-31,8.12
1931-09-30,9.71
1931-06-30,14.83
1931-03-31,16.69
1930-12-31,15.34
1930-09-30,18.59
1930-06-30,20.46
1930-03-31,25.14
1929-12-31,21.45
1929-09-30,30.16
1929-06-28,27.41
1929-03-29,25.53
1928-12-31,24.35
1928-09-28,21.14
1928-06-29,19.14
1928-03-30,19.28
1927-12-30,17.66
